node_id,lat,lon
1804158219,-23.460824,-46.6878444
1804158228,-23.4608585,-46.6874957
1804158247,-23.4609495,-46.6965576
1804158248,-23.4609101,-46.6940138
1804158250,-23.4609242,-46.6869525
1804158256,-23.4610233,-46.6904959
1804158268,-23.4611632,-46.6902581
1804158274,-23.4607432,-46.6950373
1804158276,-23.4611365,-46.69652
1804158290,-23.4612355,-46.7023907
1804158316,-23.461532,-46.7038699
1804158317,-23.4615296,-46.7019133
1804158318,-23.4615459,-46.6896157
1804158322,-23.4615731,-46.6904575
1804158325,-23.461612,-46.6913869
1804158328,-23.4616562,-46.6964124
1804158333,-23.4617541,-46.7015002
1804158339,-23.4618615,-46.6946357
1804158340,-23.4617928,-46.6918503
1804158342,-23.4619494,-46.6920588
1804158356,-23.4620244,-46.692238
1804158361,-23.462147,-46.7027499
1804158363,-23.4622036,-46.7007655
1804158364,-23.4621474,-46.7011883
1804158375,-23.4622915,-46.6963009
1804158377,-23.4623755,-46.6901424
1804158381,-23.4623984,-46.7022329
1804158404,-23.4625048,-46.7007997
1804158407,-23.462646,-46.7001879
1804158408,-23.4626325,-46.7018093
1804158413,-23.4628346,-46.6960836
1804158415,-23.4628556,-46.6921326
1804158419,-23.4628843,-46.7013467
1804158445,-23.4630085,-46.6890501
1804158464,-23.4631479,-46.6959567
1804158472,-23.4633817,-46.6958548
1804158482,-23.4633847,-46.695543
1804158499,-23.4605096,-46.6970569
1804158500,-23.4637655,-46.6894828
1804158505,-23.4641532,-46.6955533
1804158516,-23.464659,-46.6946698
1804210292,-23.4525068,-46.7073422
1804210301,-23.4535765,-46.6988978
1804210337,-23.4542576,-46.700902
1804210353,-23.4544669,-46.7009406
1804210354,-23.4544617,-46.710219
1804210359,-23.454533,-46.7121174
1804210361,-23.4545032,-46.7091444
1804210396,-23.455234,-46.7109613
1804210414,-23.4554244,-46.7021419
1804210420,-23.4554758,-46.6989839
1804210423,-23.4556036,-46.7105712
1804210442,-23.4557685,-46.7108539
1804210452,-23.4558832,-46.7108855
1804210464,-23.4561712,-46.703086
1804210466,-23.4561201,-46.7037231
1804210467,-23.4560697,-46.6990808
1804210471,-23.4561318,-46.7002898
1804210511,-23.456694,-46.70296
1804210524,-23.4568095,-46.6999411
1804210527,-23.4567979,-46.7106012
1804210550,-23.456758,-46.7034683
1804210581,-23.4575697,-46.7120648
1804210592,-23.4577029,-46.7032966
1804210596,-23.4578899,-46.7102422
1804210599,-23.4578167,-46.7079454
1804210600,-23.4575646,-46.7043085
1804210601,-23.4578861,-46.7021021
1804210607,-23.4579819,-46.7124605
1804210610,-23.4580215,-46.7027012
1804210623,-23.4583233,-46.6997251
1804210633,-23.4584852,-46.7140909
1804210656,-23.4587244,-46.7141446
1804210661,-23.4588105,-46.7070154
1804210663,-23.4588117,-46.7069693
1804210673,-23.4588294,-46.7136565
1804210685,-23.4590177,-46.7066809
1804210703,-23.459087,-46.7151071
1804210734,-23.4593686,-46.7134622
1804210737,-23.459488,-46.7117255
1804210748,-23.4596265,-46.7116044
1804210765,-23.459716,-46.7137305
1804210773,-23.459858,-46.7154668
1804210797,-23.4602001,-46.7139555
1804210809,-23.4604148,-46.7154178
1804210814,-23.4605041,-46.7126334
1804210858,-23.4609687,-46.7152474
1804210879,-23.4611201,-46.7090316
1804210891,-23.461162,-46.7036842
1804210966,-23.4619374,-46.7135229
1804210974,-23.4622578,-46.7143518
1804253843,-23.4678644,-46.7031215
1804253854,-23.4680687,-46.7046981
1804253860,-23.468359,-46.7001946
1804253867,-23.4686338,-46.6988404
1804253868,-23.4686887,-46.7021821
1804253872,-23.4687674,-46.702964
1804253874,-23.4688511,-46.7046766
1804253881,-23.4689901,-46.6947658
1804253887,-23.4690883,-46.6961183
1804253889,-23.4690848,-46.6952258
1804253890,-23.4691909,-46.700589
1804253891,-23.4691156,-46.6956349
1804253898,-23.4693875,-46.6991289
1804253899,-23.4693507,-46.7098023
1804253901,-23.4694809,-46.6965237
1804253903,-23.4695657,-46.7011072
1804253904,-23.4695674,-46.7006317
1804253906,-23.4696108,-46.6960334
1804253910,-23.4697491,-46.698118
1804253911,-23.4698315,-46.7100987
1804253912,-23.4697181,-46.7038032
1804253918,-23.4699328,-46.7015062
1804253923,-23.4700304,-46.7050055
1804253924,-23.4701449,-46.7016424
1804253933,-23.4704786,-46.7104159
1804253934,-23.470422,-46.7044607
1804253941,-23.4705001,-46.7010548
1804253944,-23.4705676,-46.7002234
1804253946,-23.4706541,-46.7018943
1804253951,-23.4708059,-46.6939643
1804253953,-23.4708525,-46.7045103
1804253956,-23.4709025,-46.6942293
1804253962,-23.4709798,-46.7012459
1804253967,-23.4710139,-46.6958183
1804253977,-23.4711456,-46.696262
1804253981,-23.4713279,-46.7020894
1804253986,-23.4713359,-46.6966883
1804253989,-23.4713505,-46.6967797
1804253990,-23.4714036,-46.6997843
1804253992,-23.4713657,-46.6972088
1804253995,-23.4715172,-46.6960825
1804253999,-23.4717194,-46.6933304
1804254000,-23.4716536,-46.6991738
1804254002,-23.4717468,-46.7073684
1804254004,-23.4717653,-46.7075332
1804254005,-23.4720326,-46.7045764
1804254006,-23.4717764,-46.7080723
1804254007,-23.4716718,-46.7009558
1804254009,-23.4718071,-46.7065769
1804254012,-23.4719925,-46.6935025
1804254015,-23.4720263,-46.698728
1804254024,-23.4720819,-46.7012628
1804254027,-23.4722514,-46.7009099
1804254028,-23.4722782,-46.6930007
1804254032,-23.4722647,-46.7086959
1804254033,-23.472354,-46.699247
1804254035,-23.4724211,-46.7013979
1804254037,-23.472465,-46.7047465
1804254042,-23.4725127,-46.6928819
1804254049,-23.4725083,-46.7091505
1804254051,-23.4725011,-46.7098383
1804254053,-23.4725754,-46.6938872
1804254056,-23.4726079,-46.7096145
1804254060,-23.4726099,-46.7010654
1804254064,-23.4727793,-46.6944681
1804254073,-23.4729176,-46.7002184
1804254076,-23.4729081,-46.6960039
1804254081,-23.472972,-46.6950253
1804254082,-23.4729716,-46.6955118
1804254084,-23.472978,-46.6953991
1804254086,-23.4729663,-46.6966364
1804254087,-23.4729905,-46.7089534
1804254090,-23.473074,-46.6971207
1804254098,-23.4732078,-46.7035225
1804254101,-23.4731834,-46.6975963
1804254103,-23.4732433,-46.7078785
1804254105,-23.4732938,-46.6994202
1804254110,-23.4733173,-46.6981194
1804254111,-23.4732698,-46.7078785
1804254116,-23.4734617,-46.7063946
1804254120,-23.4734203,-46.698697
1804254122,-23.4735755,-46.693137
1804254124,-23.4736065,-46.700301
1804254129,-23.473632,-46.7089386
1804254133,-23.4735894,-46.7046645
1804254134,-23.473735,-46.7091976
1804254137,-23.4737767,-46.7018714
1804254142,-23.4737011,-46.704515
1804254151,-23.4740203,-46.7070652
1804254156,-23.4741659,-46.7071647
1804254167,-23.4741825,-46.7096977
1804254169,-23.4742661,-46.7081326
1804254171,-23.4742752,-46.6985365
1804254174,-23.47426,-46.7092591
1804254176,-23.4743246,-46.6989947
1804254184,-23.4743657,-46.7053299
1804254187,-23.4743897,-46.70171
1804254201,-23.4744486,-46.696996
1804254204,-23.4744473,-46.6941614
1804254206,-23.4745005,-46.7045608
1804254209,-23.474543,-46.6995277
1804254212,-23.4745402,-46.6998615
1804254228,-23.474796,-46.701274
1804254229,-23.4747599,-46.6940635
1804254230,-23.4747588,-46.6975046
1804254234,-23.4749192,-46.7070968
1804254237,-23.4749013,-46.707724
1804254240,-23.4749179,-46.7079227
1804254243,-23.4749489,-46.7083968
1804254244,-23.474951,-46.7031536
1804254247,-23.4749879,-46.7024017
1804254250,-23.4750408,-46.7059755
1804254261,-23.4752132,-46.7030685
1804254262,-23.4752552,-46.7067151
1804254266,-23.4754117,-46.7024741
1804254269,-23.475428,-46.6993863
1804254270,-23.4754876,-46.7059815
1804254272,-23.475558,-46.7074558
1804254273,-23.4754763,-46.7043235
1804254274,-23.4755516,-46.7080776
1804254275,-23.4756163,-46.7020814
1804254277,-23.4756426,-46.7095985
1804254278,-23.4757146,-46.7007984
1804254283,-23.4755729,-46.7067985
1804254284,-23.4758985,-46.708421
1804254289,-23.4760656,-46.7077137
1804254294,-23.4762518,-46.7030978
1804254295,-23.476289,-46.7088566
1804254298,-23.4762949,-46.7078166
1804254307,-23.4765408,-46.7008633
1804254309,-23.4764656,-46.7067714
1804254310,-23.4764791,-46.7048804
1804254313,-23.4765252,-46.707918
1804254319,-23.4766324,-46.7036695
1804254321,-23.476671,-46.7060056
1804254324,-23.4767557,-46.7093785
